Episode:295 score:-131.09 avgscore:-127.67 highscore:28.37 time:0.85
Episode:296 score:-104.01 avgscore:-127.85 highscore:28.37 time:0.71
Episode:297 score:-84.06 avgscore:-127.90 highscore:28.37 time:0.88
Episode:298 score:-41.36 avgscore:-124.82 highscore:28.37 time:1.16
Episode:299 score:-85.19 avgscore:-123.16 highscore:28.37 time:0.80
Episode:300 score:-109.50 avgscore:-123.12 highscore:28.37 time:0.83

Evaluation at episode 300
Evaluation Episode:1 score:-98.36501472158332
Evaluation Episode:2 score:-95.08122220379093
Evaluation Episode:3 score:-106.92408151439095
Evaluation Episode:4 score:-164.28150868326256
Evaluation Episode:5 score:-111.61687328923414
Evaluation Episode:6 score:-45.80486556274303
Evaluation Episode:7 score:-97.89905624411743
Evaluation Episode:8 score:-83.74218566734109
Evaluation Episode:9 score:-109.28951406031727
Evaluation Episode:10 score:-94.5648559050452
Evaluation at episode 300 average evaluation score:-100.7569177851826

Episode:301 score:-111.64 avgscore:-121.68 highscore:28.37 time:5.29
Episode:302 score:-110.89 avgscore:-122.30 highscore:28.37 time:0.88
Episode:303 score:-279.00 avgscore:-121.37 highscore:28.37 time:1.36
Episode:304 score:-82.35 avgscore:-119.74 highscore:28.37 time:0.60
Episode:305 score:-60.03 avgscore:-118.97 highscore:28.37 time:1.13
Episode:306 score:-134.18 avgscore:-118.20 highscore:28.37 time:0.84
Episode:307 score:-89.45 avgscore:-116.88 highscore:28.37 time:0.55
Episode:308 score:-83.92 avgscore:-116.60 highscore:28.37 time:0.56
Episode:309 score:-89.39 avgscore:-118.21 highscore:28.37 time:0.63
Episode:310 score:-107.82 avgscore:-118.53 highscore:28.37 time:0.66
Episode:311 score:-76.94 avgscore:-118.10 highscore:28.37 time:0.65
Episode:312 score:-96.53 avgscore:-117.02 highscore:28.37 time:1.02
Episode:313 score:-155.59 avgscore:-117.89 highscore:28.37 time:0.67
Episode:314 score:-140.83 avgscore:-118.10 highscore:28.37 time:0.60
Episode:315 score:-102.86 avgscore:-118.29 highscore:28.37 time:0.73
Episode:316 score:-89.64 avgscore:-116.96 highscore:28.37 time:0.49
Episode:317 score:-88.23 avgscore:-116.49 highscore:28.37 time:0.85
Episode:318 score:-103.85 avgscore:-117.58 highscore:28.37 time:1.10
Episode:319 score:-94.86 avgscore:-117.15 highscore:28.37 time:0.62
Episode:320 score:-96.73 avgscore:-116.54 highscore:28.37 time:0.96
Episode:321 score:-115.15 avgscore:-116.82 highscore:28.37 time:0.70
Episode:322 score:-70.60 avgscore:-115.96 highscore:28.37 time:0.57
Episode:323 score:-224.46 avgscore:-118.33 highscore:28.37 time:1.04
Episode:324 score:-174.47 avgscore:-113.41 highscore:28.37 time:0.67
Episode:325 score:-107.39 avgscore:-114.33 highscore:28.37 time:0.82
Episode:326 score:-148.14 avgscore:-114.78 highscore:28.37 time:0.95
Episode:327 score:-64.78 avgscore:-113.97 highscore:28.37 time:0.70
Episode:328 score:-104.73 avgscore:-114.05 highscore:28.37 time:0.82
Episode:329 score:-3.80 avgscore:-112.42 highscore:28.37 time:0.84
Episode:330 score:-197.12 avgscore:-114.27 highscore:28.37 time:0.92
Episode:331 score:-131.31 avgscore:-115.29 highscore:28.37 time:0.86
Episode:332 score:-216.96 avgscore:-116.97 highscore:28.37 time:0.83
Episode:333 score:-177.35 avgscore:-118.93 highscore:28.37 time:0.84
Episode:334 score:-100.27 avgscore:-119.58 highscore:28.37 time:1.08
Episode:335 score:-82.40 avgscore:-119.11 highscore:28.37 time:0.93
Episode:336 score:-271.81 avgscore:-122.95 highscore:28.37 time:0.90
Episode:337 score:-99.44 avgscore:-122.83 highscore:28.37 time:0.61
Episode:338 score:31.74 avgscore:-119.96 highscore:31.74 time:0.83
Episode:339 score:-112.45 avgscore:-121.70 highscore:31.74 time:0.66
Episode:340 score:-215.28 avgscore:-123.95 highscore:31.74 time:1.03
Episode:341 score:-107.69 avgscore:-122.82 highscore:31.74 time:0.53
Episode:342 score:-48.62 avgscore:-121.63 highscore:31.74 time:0.52
Episode:343 score:-214.05 avgscore:-115.68 highscore:31.74 time:1.01
Episode:344 score:-71.11 avgscore:-115.55 highscore:31.74 time:0.88
Episode:345 score:-138.08 avgscore:-115.69 highscore:31.74 time:0.71
Episode:346 score:-110.42 avgscore:-115.82 highscore:31.74 time:0.79
Episode:347 score:-112.44 avgscore:-116.39 highscore:31.74 time:0.98
Episode:348 score:-90.60 avgscore:-117.37 highscore:31.74 time:0.73
Episode:349 score:-77.20 avgscore:-117.21 highscore:31.74 time:0.60
Episode:350 score:-86.22 avgscore:-116.75 highscore:31.74 time:0.69
Episode:351 score:-138.53 avgscore:-117.28 highscore:31.74 time:0.64
Episode:352 score:-158.48 avgscore:-118.24 highscore:31.74 time:0.88
Episode:353 score:-49.73 avgscore:-113.65 highscore:31.74 time:0.90
Episode:354 score:-101.34 avgscore:-114.03 highscore:31.74 time:1.01
Episode:355 score:-121.21 avgscore:-115.25 highscore:31.74 time:0.70
Episode:356 score:40.19 avgscore:-111.77 highscore:40.19 time:0.79
