Episode:352 score:-97.56 avgscore:-158.58 highscore:48.67
Episode:353 score:-67.45 avgscore:-158.26 highscore:48.67
Episode:354 score:-32.16 avgscore:-155.86 highscore:48.67
Episode:355 score:-247.15 avgscore:-154.68 highscore:48.67
Episode:356 score:-100.85 avgscore:-152.02 highscore:48.67
Episode:357 score:-131.73 avgscore:-152.44 highscore:48.67
Episode:358 score:-218.16 avgscore:-154.00 highscore:48.67
Episode:359 score:-116.43 avgscore:-153.62 highscore:48.67
Episode:360 score:-95.44 avgscore:-152.23 highscore:48.67
Episode:361 score:-232.19 avgscore:-155.79 highscore:48.67
Episode:362 score:-104.13 avgscore:-152.56 highscore:48.67
Episode:363 score:-211.07 avgscore:-154.86 highscore:48.67
Episode:364 score:-111.40 avgscore:-154.00 highscore:48.67
Episode:365 score:-329.36 avgscore:-156.35 highscore:48.67
Episode:366 score:-66.55 avgscore:-155.75 highscore:48.67
Episode:367 score:-107.00 avgscore:-152.88 highscore:48.67
Episode:368 score:-342.44 avgscore:-155.80 highscore:48.67
Episode:369 score:-209.48 avgscore:-158.19 highscore:48.67
Episode:370 score:-321.56 avgscore:-163.82 highscore:48.67
Episode:371 score:-143.92 avgscore:-161.41 highscore:48.67
Episode:372 score:-61.52 avgscore:-155.36 highscore:48.67
Episode:373 score:-89.16 avgscore:-155.31 highscore:48.67
Episode:374 score:-46.38 avgscore:-154.91 highscore:48.67
Episode:375 score:-333.31 avgscore:-158.01 highscore:48.67
Episode:376 score:-212.88 avgscore:-160.24 highscore:48.67
Episode:377 score:-89.92 avgscore:-158.80 highscore:48.67
Episode:378 score:-14.32 avgscore:-156.79 highscore:48.67
Episode:379 score:-13.46 avgscore:-154.87 highscore:48.67
Episode:380 score:-78.66 avgscore:-154.24 highscore:48.67
Episode:381 score:-52.10 avgscore:-152.98 highscore:48.67
Episode:382 score:-242.06 avgscore:-155.46 highscore:48.67
Episode:383 score:-346.73 avgscore:-159.60 highscore:48.67
Episode:384 score:-74.35 avgscore:-156.93 highscore:48.67
Episode:385 score:-215.59 avgscore:-156.10 highscore:48.67
Episode:386 score:-121.98 avgscore:-151.93 highscore:48.67
Episode:387 score:-43.65 avgscore:-150.35 highscore:48.67
Episode:388 score:-66.05 avgscore:-149.30 highscore:48.67
Episode:389 score:-163.77 avgscore:-150.39 highscore:48.67
Episode:390 score:-126.95 avgscore:-148.75 highscore:48.67
Episode:391 score:-194.45 avgscore:-151.07 highscore:48.67
Episode:392 score:-297.14 avgscore:-151.70 highscore:48.67
Episode:393 score:-328.52 avgscore:-154.54 highscore:48.67
Episode:394 score:-306.99 avgscore:-157.88 highscore:48.67
Episode:395 score:-243.32 avgscore:-158.55 highscore:48.67
Episode:396 score:-171.65 avgscore:-160.47 highscore:48.67
Episode:397 score:-40.51 avgscore:-159.39 highscore:48.67
Episode:398 score:-242.69 avgscore:-158.58 highscore:48.67
Episode:399 score:-174.75 avgscore:-160.51 highscore:48.67
Episode:400 score:-340.57 avgscore:-161.41 highscore:48.67

Evaluation at episode 400
Evaluation Episode:1 score:-132.14188187516126
Evaluation Episode:2 score:-155.02358335720322
Evaluation Episode:3 score:-84.22509577120206
Evaluation Episode:4 score:-119.15476363845877
Evaluation Episode:5 score:-136.5568952994389
Evaluation Episode:6 score:-96.88898546885568
Evaluation Episode:7 score:-279.61985381273746
Evaluation Episode:8 score:-267.7301849106567
Evaluation Episode:9 score:-120.51704132654196
Evaluation Episode:10 score:-13.890015883628081
Evaluation at episode:400 average evaluation score:-140.5748301343884

Episode:401 score:-166.12 avgscore:-163.71 highscore:48.67
Episode:402 score:-53.80 avgscore:-162.84 highscore:48.67
Episode:403 score:-74.54 avgscore:-162.98 highscore:48.67
Episode:404 score:-272.73 avgscore:-167.79 highscore:48.67
Episode:405 score:18.26 avgscore:-162.48 highscore:48.67
Episode:406 score:-135.09 avgscore:-163.17 highscore:48.67
Episode:407 score:-93.06 avgscore:-162.39 highscore:48.67
Episode:408 score:-214.04 avgscore:-162.31 highscore:48.67
Episode:409 score:-41.38 avgscore:-160.81 highscore:48.67
Episode:410 score:-62.82 avgscore:-160.16 highscore:48.67
Episode:411 score:-166.60 avgscore:-158.85 highscore:48.67
Episode:412 score:-184.07 avgscore:-160.44 highscore:48.67
Episode:413 score:-26.93 avgscore:-156.76 highscore:48.67
Episode:414 score:-48.20 avgscore:-155.50 highscore:48.67
Episode:415 score:-81.49 avgscore:-150.54 highscore:48.67
Episode:416 score:-48.89 avgscore:-150.19 highscore:48.67
Episode:417 score:-85.51 avgscore:-149.76 highscore:48.67
Episode:418 score:-99.47 avgscore:-144.90 highscore:48.67
